trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.05, 'e': 0.36499999999999944}",25,10,-17.035043085341076,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
128,False,"{'a': 0.05, 'e': 0.35999999999999943}",30,19,-35.60766402800522,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.05, 'e': 0.3549999999999994}",30,15,23.994322447862025,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.05, 'e': 0.3499999999999994}",30,16,-37.73464877151585,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.05, 'e': 0.3449999999999994}",30,13,-20.372919659825875,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.05, 'e': 0.3399999999999994}",20,3,-26.20116525625169,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.05, 'e': 0.3349999999999994}",20,14,9.816793870643043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.05, 'e': 0.3299999999999994}",30,9,-63.87889838476868,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 0}",1
135,False,"{'a': 0.05, 'e': 0.3249999999999994}",30,0,2.647830798647716,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.05, 'e': 0.3199999999999994}",30,14,24.376000966537074,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.05, 'e': 0.3149999999999994}",25,7,-111.59532607196311,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
138,False,"{'a': 0.05, 'e': 0.3099999999999994}",20,5,0.24070559642803424,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.05, 'e': 0.3049999999999994}",30,20,6.789159927539389,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.2999999999999994}",25,0,-12.656023476801316,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.05, 'e': 0.2949999999999994}",20,11,18.968256322311348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
